bay_id,st_marker_id,status,location,lat,lon
2130,3705S,Unoccupied,"(-37.80915108992147, 144.9655783623318)",-37.80915108992147,144.9655783623318
3929,C5774,Unoccupied,"(-37.804368447801274, 144.9554163932999)",-37.804368447801274,144.9554163932999
912,C670,Unoccupied,"(-37.81440744587311, 144.96883413715778)",-37.81440744587311,144.96883413715778
933,C740,Unoccupied,"(-37.81348501071899, 144.96841138944723)",-37.81348501071899,144.96841138944723
5881,12910N,Present,"(-37.79837484550813, 144.96534595918206)",-37.79837484550813,144.96534595918206
2640,10113W,Unoccupied,"(-37.80352505496764, 144.94791924015442)",-37.80352505496764,144.94791924015442
3263,5818E,Present,"(-37.806921048807496, 144.95349392731026)",-37.806921048807496,144.95349392731026
3803,C5434,Unoccupied,"(-37.80809212219789, 144.95473598666138)",-37.80809212219789,144.95473598666138
3631,7580N,Unoccupied,"(-37.80560674439511, 144.95435776275738)",-37.80560674439511,144.95435776275738
949,C802,Present,"(-37.8114017627735, 144.9674554739191)",-37.8114017627735,144.9674554739191
2738,4559W,Unoccupied,"(-37.80867167411489, 144.9660838980326)",-37.80867167411489,144.9660838980326
5853,C9114,Present,"(-37.79839824640371, 144.9647112405815)",-37.79839824640371,144.9647112405815
3632,7582N,Unoccupied,"(-37.80559938943729, 144.95429309928642)",-37.80559938943729,144.95429309928642
5176,C8004,Unoccupied,"(-37.81043608917297, 144.9525996878082)",-37.81043608917297,144.9525996878082
5177,C8006,Present,"(-37.810444828813935, 144.95256857742612)",-37.810444828813935,144.95256857742612
3606,7554N,Unoccupied,"(-37.80598354787373, 144.95884461925414)",-37.80598354787373,144.95884461925414
3798,C5420,Present,"(-37.80821182060825, 144.95479065062798)",-37.80821182060825,144.95479065062798
8336,C6632a,Present,"(-37.808460677241314, 144.95940727803438)",-37.808460677241314,144.95940727803438
3937,C5790,Unoccupied,"(-37.804085208998885, 144.95546730823222)",-37.804085208998885,144.95546730823222
2642,10116E,Present,"(-37.803361894255374, 144.94817847650575)",-37.803361894255374,144.94817847650575
3388,6219W,Unoccupied,"(-37.806156626494236, 144.95091629830176)",-37.806156626494236,144.95091629830176
3892,C5692,Unoccupied,"(-37.80626986938957, 144.9550797471396)",-37.80626986938957,144.9550797471396
5273,4507W,Unoccupied,"(-37.81171114451988, 144.9534480392092)",-37.81171114451988,144.9534480392092
3690,7650N,Present,"(-37.80499242599822, 144.95703922690257)",-37.80499242599822,144.95703922690257
3003,5060E,Unoccupied,"(-37.80514354426124, 144.9580620873935)",-37.80514354426124,144.9580620873935
4112,C6376,Unoccupied,"(-37.804055665448146, 144.9509510218349)",-37.804055665448146,144.9509510218349
4440,C7726,Present,"(-37.80329122707427, 144.95175998391886)",-37.80329122707427,144.95175998391886
1544,1916N,Unoccupied,"(-37.81454685704701, 144.96949993064857)",-37.81454685704701,144.96949993064857
3002,5058E,Unoccupied,"(-37.80516415538277, 144.95807184586596)",-37.80516415538277,144.95807184586596
5857,C9130,Unoccupied,"(-37.79841124372694, 144.96483415326622)",-37.79841124372694,144.96483415326622
3824,C5504,Present,"(-37.807140701844034, 144.95429735415559)",-37.807140701844034,144.95429735415559
5855,C9122,Unoccupied,"(-37.79840475600588, 144.96477329313018)",-37.79840475600588,144.96477329313018
3389,6221W,Unoccupied,"(-37.806112435723136, 144.95089614486108)",-37.806112435723136,144.95089614486108
